gene,average_rank,rank_variance,n_runs_seen
cdk-4,1.000000,0.000000,1
klp-19,2.000000,0.000000,1
cyp-13B1,3.000000,0.000000,1
plst-1,4.000000,0.000000,1
vps-28,5.000000,0.000000,1
ceh-36,6.000000,0.000000,1
dsl-3,7.000000,0.000000,1
nfki-1,8.000000,0.000000,1
agef-1,9.000000,0.000000,1
efhc-1,10.000000,0.000000,1
Y55F3C.17,11.000000,0.000000,1
utx-1,12.000000,0.000000,1
spr-5,13.000000,0.000000,1
col-183,14.000000,0.000000,1
swsn-1,15.000000,0.000000,1
unc-2,16.000000,0.000000,1
unc-9,17.000000,0.000000,1
vwa-8,18.000000,0.000000,1
F23D12.2,19.000000,0.000000,1
fbxa-23,20.000000,0.000000,1
cpx-2,21.000000,0.000000,1
pks-1,22.000000,0.000000,1
laf-1,23.000000,0.000000,1
col-10,24.000000,0.000000,1
cla-1,25.000000,0.000000,1
M03B6.1,26.000000,0.000000,1
vig-1,27.000000,0.000000,1
Y46B2A.3,28.000000,0.000000,1
C04C11.16,29.000000,0.000000,1
K11E4.6,30.000000,0.000000,1
