gene,average_rank,rank_variance,n_runs_seen
sys-1,1.200000,0.160000,5
fem-1,3.800000,2.560000,5
gpb-1,4.400000,4.240000,5
sur-6,4.600000,5.840000,5
tdp-1,4.600000,6.640000,5
aha-1,6.000000,6.000000,5
trr-1,6.400000,1.840000,5
jmjd-1.2,8.600000,3.440000,5
daf-2,10.400000,1.840000,5
alg-1,10.600000,2.240000,5
mut-16,14.600000,5.840000,5
ttr-13,15.400000,127.440000,5
gcy-5,15.800000,14.160000,5
rsp-2,17.000000,52.800000,5
brc-1,17.800000,58.960000,4
cdh-1,17.800000,11.760000,5
ptb-1,19.800000,34.960000,4
irld-66,20.200000,22.160000,5
unc-52,20.200000,10.960000,5
tag-325,20.600000,11.840000,5
wdr-48,21.000000,27.200000,4
nos-3,22.200000,45.360000,4
polq-1,22.600000,3.840000,5
sulp-1,26.000000,21.600000,3
unc-13,26.000000,25.600000,3
unc-79,26.200000,34.960000,2
cyd-1,26.600000,43.440000,2
tra-2,26.600000,77.440000,1
tir-1,26.800000,70.560000,1
gadr-2,27.200000,50.560000,2
irld-65,27.600000,46.240000,1
tsr-1,27.800000,18.960000,2
ark-1,28.200000,26.160000,2
dnj-25,28.400000,27.040000,1
bcat-1,28.800000,8.160000,2
mrpl-10,29.200000,7.360000,2
ppat-1,29.600000,3.040000,2
Y43F8B.3,29.800000,5.760000,1
ZK1067.2,29.800000,5.760000,1
rol-1,29.800000,5.760000,1
C01G6.5,30.000000,1.600000,2
srh-173,30.000000,4.000000,1
algn-9,30.200000,1.360000,2
ugt-22,30.200000,2.560000,1
ceh-100,30.600000,0.640000,1
cutl-28,30.600000,0.640000,1
rskn-1,30.600000,0.640000,1
clp-6,30.800000,0.160000,1
