0.702688
gene,variance
ZK1067.2,9.040000
aha-1,5.760000
alg-1,0.560000
algn-9,35.840000
brc-1,73.840000
cdh-1,12.800000
cutl-28,0.160000
cyd-1,0.560000
daf-2,39.440000
dnj-25,19.360000
fem-1,101.360000
gadr-2,2.560000
gcy-5,23.760000
gpb-1,1.360000
irld-65,10.240000
irld-66,35.360000
jmjd-1.2,2.560000
lact-2,6.400000
mrpl-10,5.360000
mut-16,82.800000
nos-3,4.560000
polq-1,0.560000
ppat-1,16.640000
ptb-1,83.840000
rskn-1,11.440000
rsp-2,68.800000
rsp-2 (duplicate omitted in ranking),0.160000
srh-173,12.240000
sulp-1,6.400000
sur-6,7.440000
sys-1,0.640000
tag-325,16.560000
tdp-1,9.760000
top-3,0.960000
trr-1,85.760000
tsr-1,34.000000
ttr-13,8.640000
ugt-22,0.640000
unc-13,1.440000
unc-52,5.360000
unc-79,8.240000
wdr-48,5.360000
