0.637373
gene,variance
C01G6.5,3.600000
F55G1.6,0.810000
ZK1067.2,40.960000
alg-1,66.250000
algn-9,4.290000
bcat-1,1.440000
brc-1,30.810000
cdh-1,28.810000
cutl-28,2.250000
cyd-1,66.640000
daf-2,9.400000
din-1,13.160000
dnj-25,20.240000
efl-2,25.490000
egg-3,72.050000
fem-1,118.690000
gadr-2,25.050000
gcy-5,40.010000
gpb-1,24.490000
his-45,23.010000
imph-1,2.010000
irld-65,31.010000
irld-66,40.690000
jmjd-1.2,5.090000
lact-2,1.440000
mrpl-10,6.960000
mut-16,58.360000
nos-3,33.360000
npp-8,12.960000
polq-1,30.960000
ppat-1,7.610000
ptb-1,99.040000
rcq-5,11.450000
rilp-1,7.290000
rskn-1,40.160000
rsp-2,9.890000
srh-173,20.040000
sulp-1,23.360000
sur-6,25.010000
sys-1,0.610000
tag-325,26.090000
tdp-1,12.290000
top-3,23.400000
tra-2,32.490000
trr-1,62.440000
tsr-1,20.090000
ttr-13,138.210000
ugt-22,5.800000
ugt-33,0.090000
ule-3,1.440000
unc-13,11.050000
unc-52,38.290000
unc-79,17.760000
wdr-48,36.010000
