0.745064
gene,variance
21ur-12607,0.810000
C01G6.5,11.610000
F45H10.3,4.800000
F55G1.6,11.160000
M01E5.2,2.250000
M04F3.5,26.960000
Y43F8B.3,1.440000
Y48C3A.5,0.810000
Y69H2.10,5.760000
ZK1067.2,12.960000
aha-1,37.600000
alg-1,1.010000
algn-9,2.240000
bcat-1,4.850000
brc-1,9.010000
cdh-1,3.040000
cutl-28,3.240000
cyd-1,81.760000
daf-2,3.210000
din-1,4.200000
dnj-25,1.640000
fem-1,4.040000
flp-13,2.250000
gcy-5,6.650000
gly-14,0.360000
gpb-1,28.490000
imph-1,31.490000
irld-66,26.160000
jmjd-1.2,1.090000
lact-2,12.010000
mltn-10,5.960000
mrpl-10,10.400000
mrps-12,4.410000
mut-16,4.410000
nos-3,11.360000
oac-19,4.200000
polq-1,24.850000
ppat-1,22.360000
ptb-1,16.650000
rskn-1,14.090000
rsp-2,7.160000
rsp-2 (secondary upstream),1.440000
rsp-2 (upstream),10.890000
seu-1,27.440000
snn-1,22.400000
srh-173,26.440000
sulp-1,0.360000
sur-6,25.760000
sys-1,0.810000
tag-325,10.040000
tdp-1,0.560000
tir-1,15.890000
tra-2,0.360000
ttn-1,0.090000
ttr-13,0.600000
ugt-22,19.600000
ule-3,0.410000
unc-13,28.410000
unc-52,4.000000
unc-79,21.360000
wdr-48,0.450000
