0.604829
gene,variance
C01G6.5,45.800000
C13E3.1,1.440000
F45H10.3,2.250000
F55G1.6,4.410000
M04F3.5,2.240000
Y43F8B.3,17.640000
Y69H2.10,3.240000
ZK1067.2,37.640000
alg-1,35.290000
algn-9,0.160000
ark-1,2.250000
brc-1,48.040000
cdh-1,30.810000
clec-263,0.360000
clec-83,6.200000
clp-6,0.090000
cyd-1,78.840000
daf-2,8.760000
dnj-25,44.840000
egg-3,77.960000
fem-1,93.690000
gadr-2,59.850000
gcy-5,47.210000
gpb-1,110.840000
his-45,12.810000
imph-1,15.210000
irld-65,7.760000
irld-66,27.690000
jmjd-1.2,1.360000
lact-2,0.840000
mltn-10,0.360000
mrpl-10,35.360000
mrps-12,3.240000
mut-16,50.160000
nas-39,0.090000
nos-3,34.040000
npp-8,91.410000
polq-1,6.650000
ppat-1,20.800000
ptb-1,70.440000
rcq-5,1.440000
rskn-1,23.210000
rsp-2,63.360000
srh-173,28.410000
sulp-1,30.240000
sur-6,57.840000
sys-1,0.890000
tag-325,12.010000
tdp-1,0.610000
tir-1,1.050000
trr-1,100.410000
tsr-1,29.410000
ttr-13,89.610000
ugt-22,7.490000
unc-13,0.410000
unc-52,9.360000
unc-79,3.240000
vps-25,85.490000
wdr-48,6.560000
