gene,average_rank,rank_variance,n_runs_seen
sys-1,1.700000,0.810000,10
tdp-1,1.800000,0.560000,10
ttr-13,3.000000,0.600000,10
fem-1,4.400000,4.040000,10
alg-1,5.700000,1.010000,10
jmjd-1.2,5.900000,1.090000,10
daf-2,7.300000,3.210000,10
wdr-48,7.500000,0.450000,10
rsp-2,10.200000,7.160000,10
unc-52,11.000000,4.000000,10
cdh-1,11.600000,3.040000,10
gcy-5,12.500000,6.650000,10
brc-1,12.700000,9.010000,10
tag-325,14.600000,10.040000,10
nos-3,16.800000,11.360000,10
mrpl-10,18.000000,10.400000,10
polq-1,18.500000,24.850000,9
ppat-1,19.800000,22.360000,9
irld-66,22.200000,26.160000,8
cyd-1,23.800000,81.760000,7
aha-1,25.000000,37.600000,6
ugt-22,25.000000,19.600000,7
imph-1,26.100000,31.490000,5
M04F3.5,26.200000,26.960000,5
srh-173,26.400000,26.440000,5
unc-79,26.800000,21.360000,5
seu-1,27.600000,27.440000,4
unc-13,27.700000,28.410000,4
rskn-1,27.900000,14.090000,5
snn-1,28.000000,22.400000,4
F55G1.6,28.200000,11.160000,5
ptb-1,28.500000,16.650000,3
gpb-1,28.900000,28.490000,3
tir-1,28.900000,15.890000,3
sur-6,29.200000,25.760000,2
C01G6.5,29.300000,11.610000,2
lact-2,29.300000,12.010000,2
bcat-1,29.500000,4.850000,4
ZK1067.2,29.800000,12.960000,1
mltn-10,29.800000,5.960000,2
rsp-2 (upstream),29.900000,10.890000,1
F45H10.3,30.000000,4.800000,2
din-1,30.000000,4.200000,2
oac-19,30.000000,4.200000,2
Y69H2.10,30.200000,5.760000,1
mrps-12,30.300000,4.410000,1
mut-16,30.300000,4.410000,1
algn-9,30.400000,2.240000,2
cutl-28,30.400000,3.240000,1
dnj-25,30.400000,1.640000,2
M01E5.2,30.500000,2.250000,1
flp-13,30.500000,2.250000,1
Y43F8B.3,30.600000,1.440000,1
rsp-2 (secondary upstream),30.600000,1.440000,1
21ur-12607,30.700000,0.810000,1
Y48C3A.5,30.700000,0.810000,1
ule-3,30.700000,0.410000,2
gly-14,30.800000,0.360000,1
sulp-1,30.800000,0.360000,1
tra-2,30.800000,0.360000,1
ttn-1,30.900000,0.090000,1
