0.694953
gene,variance
C01G6.5,1.600000
Y43F8B.3,5.760000
ZK1067.2,5.760000
aha-1,6.000000
alg-1,2.240000
algn-9,1.360000
ark-1,26.160000
bcat-1,8.160000
brc-1,58.960000
cdh-1,11.760000
ceh-100,0.640000
clp-6,0.160000
cutl-28,0.640000
cyd-1,43.440000
daf-2,1.840000
dnj-25,27.040000
fem-1,2.560000
gadr-2,50.560000
gcy-5,14.160000
gpb-1,4.240000
irld-65,46.240000
irld-66,22.160000
jmjd-1.2,3.440000
mrpl-10,7.360000
mut-16,5.840000
nos-3,45.360000
polq-1,3.840000
ppat-1,3.040000
ptb-1,34.960000
rol-1,5.760000
rskn-1,0.640000
rsp-2,52.800000
srh-173,4.000000
sulp-1,21.600000
sur-6,5.840000
sys-1,0.160000
tag-325,11.840000
tdp-1,6.640000
tir-1,70.560000
tra-2,77.440000
trr-1,1.840000
tsr-1,18.960000
ttr-13,127.440000
ugt-22,2.560000
unc-13,25.600000
unc-52,10.960000
unc-79,34.960000
wdr-48,27.200000
