gene,average_rank,rank_variance,n_runs_seen
tdp-1,1.600000,0.640000,10
ttr-13,2.800000,0.560000,10
fem-1,3.700000,0.810000,10
sys-1,4.700000,71.810000,10
alg-1,5.400000,0.640000,10
jmjd-1.2,6.100000,1.090000,10
wdr-48,10.800000,49.960000,10
cdh-1,11.400000,14.040000,10
daf-2,11.800000,43.160000,10
unc-52,12.800000,22.360000,10
gcy-5,14.700000,20.010000,10
mrpl-10,15.000000,3.600000,10
nos-3,15.300000,2.010000,10
rsp-2,16.200000,52.760000,10
polq-1,17.300000,2.610000,10
irld-66,17.500000,10.850000,10
brc-1,17.800000,62.160000,8
tag-325,17.900000,12.090000,10
ppat-1,19.000000,17.200000,10
cyd-1,20.500000,79.650000,7
srh-173,24.100000,21.690000,9
ugt-22,25.000000,25.000000,8
C01G6.5,25.800000,36.560000,6
ZK1067.2,25.900000,20.890000,6
M04F3.5,26.400000,24.640000,6
imph-1,27.700000,25.610000,3
unc-79,28.200000,31.360000,3
ptb-1,28.800000,43.560000,1
tir-1,29.300000,26.010000,1
mut-16,29.400000,23.040000,1
lact-2,29.600000,3.440000,4
tsr-1,29.600000,8.040000,2
Y43F8B.3,29.700000,7.210000,2
mltn-10,29.700000,8.010000,2
aha-1,29.800000,12.960000,1
cutl-28,29.800000,5.760000,3
sulp-1,29.900000,4.690000,3
tra-2,29.900000,4.090000,3
F55G1.6,30.100000,2.690000,3
bath-47,30.100000,7.290000,1
irld-65,30.100000,5.690000,2
sur-6,30.100000,7.290000,1
ugt-33,30.100000,3.290000,2
F27E5.7,30.200000,4.360000,2
dnj-25,30.300000,4.410000,1
unc-13,30.300000,3.210000,2
C34C12.6,30.400000,3.240000,1
F27E5.8,30.500000,2.250000,1
M01E5.2,30.500000,2.250000,1
M03A1.t2,30.500000,2.250000,1
bcat-1,30.600000,0.640000,2
ttn-1,30.600000,1.440000,1
ule-3,30.600000,1.440000,1
21ur-12607,30.700000,0.810000,1
R07D5.2,30.700000,0.810000,1
Y69H2.10,30.800000,0.360000,1
F45H10.3,30.900000,0.090000,1
oac-19,30.900000,0.090000,1
