gene,average_rank,rank_variance,n_runs_seen
ceh-36,1.000000,0.000000,1
col-183,2.000000,0.000000,1
cyp-13B1,3.000000,0.000000,1
vwa-8,4.000000,0.000000,1
unc-2,5.000000,0.000000,1
cdk-4,6.000000,0.000000,1
efhc-1,7.000000,0.000000,1
cla-1,8.000000,0.000000,1
Y55F3C.17,9.000000,0.000000,1
swsn-1,10.000000,0.000000,1
unc-9,11.000000,0.000000,1
nfki-1,12.000000,0.000000,1
lin-65,13.000000,0.000000,1
osm-7,14.000000,0.000000,1
utx-1,15.000000,0.000000,1
nas-39,16.000000,0.000000,1
pks-1,17.000000,0.000000,1
vps-28,18.000000,0.000000,1
dcs-1,19.000000,0.000000,1
spr-5,20.000000,0.000000,1
nhr-80,21.000000,0.000000,1
gck-3,22.000000,0.000000,1
klp-19,23.000000,0.000000,1
scpl-1,24.000000,0.000000,1
ceh-62,25.000000,0.000000,1
egl-6,26.000000,0.000000,1
vha-13,27.000000,0.000000,1
ncx-2,28.000000,0.000000,1
che-6,29.000000,0.000000,1
Y46B2A.3,30.000000,0.000000,1
