1.000000
gene,variance
C04C11.16,0.000000
F23D12.2,0.000000
K11E4.6,0.000000
M03B6.1,0.000000
Y46B2A.3,0.000000
Y55F3C.17,0.000000
agef-1,0.000000
cdk-4,0.000000
ceh-36,0.000000
cla-1,0.000000
col-10,0.000000
col-183,0.000000
cpx-2,0.000000
cyp-13B1,0.000000
dsl-3,0.000000
efhc-1,0.000000
fbxa-23,0.000000
klp-19,0.000000
laf-1,0.000000
nfki-1,0.000000
pks-1,0.000000
plst-1,0.000000
spr-5,0.000000
swsn-1,0.000000
unc-2,0.000000
unc-9,0.000000
utx-1,0.000000
vig-1,0.000000
vps-28,0.000000
vwa-8,0.000000
