0.752758
gene,variance
F55G1.6,0.360000
F56D12.t3,0.360000
M04F3.5,5.760000
Y113G7A.t4,0.090000
Y38F2AR.12,0.810000
Y48C3A.5,0.810000
ZK1067.2,4.000000
aha-1,10.010000
alg-1,3.210000
algn-9,26.450000
ark-1,105.610000
bcat-1,1.450000
brc-1,38.640000
cdh-1,17.090000
ceh-100,0.090000
cutl-28,0.360000
cyd-1,41.760000
daf-2,0.450000
din-1,0.360000
dnj-25,19.760000
fem-1,11.160000
gadr-2,3.690000
gcy-5,22.040000
gpb-1,3.010000
imph-1,3.240000
irld-66,22.360000
jmjd-1.2,4.450000
lact-2,1.440000
mrpl-10,9.010000
mrps-12,1.440000
mut-16,39.490000
nos-3,31.840000
oac-19,0.850000
polq-1,4.040000
ppat-1,8.010000
ptb-1,70.760000
rskn-1,5.290000
rsp-2,55.090000
srh-173,10.890000
sulp-1,8.160000
sur-6,2.840000
sys-1,0.410000
tag-325,28.600000
tdp-1,37.250000
tir-1,88.400000
tra-2,43.610000
trr-1,2.640000
ttr-13,37.810000
ugt-22,4.890000
unc-13,13.010000
unc-52,6.040000
unc-79,21.490000
vps-25,0.090000
wdr-48,4.890000
