gene,average_rank,rank_variance,n_runs_seen
tdp-1,1.700000,0.610000,10
sys-1,1.900000,0.890000,10
jmjd-1.2,5.200000,1.360000,10
ttr-13,7.700000,89.610000,9
fem-1,8.900000,93.690000,9
sur-6,9.400000,57.840000,9
alg-1,10.100000,35.290000,10
daf-2,10.800000,8.760000,10
rsp-2,11.200000,63.360000,9
mut-16,12.200000,50.160000,9
brc-1,14.600000,48.040000,9
wdr-48,14.800000,6.560000,10
trr-1,16.700000,100.410000,7
tag-325,17.300000,12.010000,10
cyd-1,17.600000,78.840000,8
gpb-1,18.600000,110.840000,6
cdh-1,19.700000,30.810000,9
polq-1,20.500000,6.650000,10
unc-52,20.800000,9.360000,10
irld-66,20.900000,27.690000,10
nos-3,21.400000,34.040000,9
ptb-1,21.400000,70.440000,6
npp-8,21.700000,91.410000,5
gcy-5,23.700000,47.210000,7
vps-25,23.900000,85.490000,4
egg-3,24.200000,77.960000,5
mrpl-10,24.800000,35.360000,8
gadr-2,25.500000,59.850000,4
dnj-25,26.400000,44.840000,4
ppat-1,27.000000,20.800000,7
rskn-1,27.300000,23.210000,4
ZK1067.2,27.400000,37.640000,3
tsr-1,27.700000,29.410000,4
C01G6.5,28.000000,45.800000,2
sulp-1,28.600000,30.240000,2
srh-173,28.700000,28.410000,3
ugt-22,28.900000,7.490000,5
clec-83,29.000000,6.200000,4
irld-65,29.200000,7.760000,3
his-45,29.300000,12.810000,2
Y43F8B.3,29.600000,17.640000,1
imph-1,29.700000,15.210000,1
F55G1.6,30.300000,4.410000,1
M04F3.5,30.400000,2.240000,2
Y69H2.10,30.400000,3.240000,1
mrps-12,30.400000,3.240000,1
unc-79,30.400000,3.240000,1
F45H10.3,30.500000,2.250000,1
ark-1,30.500000,2.250000,1
tir-1,30.500000,1.050000,2
C13E3.1,30.600000,1.440000,1
lact-2,30.600000,0.840000,2
rcq-5,30.600000,1.440000,1
unc-13,30.700000,0.410000,2
algn-9,30.800000,0.160000,2
clec-263,30.800000,0.360000,1
mltn-10,30.800000,0.360000,1
clp-6,30.900000,0.090000,1
nas-39,30.900000,0.090000,1
