gene,average_rank,rank_variance,n_runs_seen
cyp-13B1,1.000000,0.000000,1
Y55F3C.17,2.000000,0.000000,1
cla-1,3.000000,0.000000,1
cdk-4,4.000000,0.000000,1
ceh-36,5.000000,0.000000,1
efhc-1,6.000000,0.000000,1
unc-2,7.000000,0.000000,1
pks-1,8.000000,0.000000,1
col-183,9.000000,0.000000,1
vwa-8,10.000000,0.000000,1
col-10,11.000000,0.000000,1
fbxa-23,12.000000,0.000000,1
nfki-1,13.000000,0.000000,1
utx-1,14.000000,0.000000,1
vig-1,15.000000,0.000000,1
unc-9,16.000000,0.000000,1
egl-6,17.000000,0.000000,1
agef-1,18.000000,0.000000,1
M03B6.1,19.000000,0.000000,1
cpx-2,20.000000,0.000000,1
vps-28,21.000000,0.000000,1
nep-2,22.000000,0.000000,1
dcs-1,23.000000,0.000000,1
klp-19,24.000000,0.000000,1
spr-5,25.000000,0.000000,1
vha-13,26.000000,0.000000,1
che-6,27.000000,0.000000,1
C04C11.16,28.000000,0.000000,1
K11E4.6,29.000000,0.000000,1
K02B9.9,30.000000,0.000000,1
