gene,average_rank,rank_variance,n_runs_seen
sys-1,1.300000,0.410000,10
daf-2,2.500000,0.450000,10
gpb-1,3.700000,3.010000,10
sur-6,5.400000,2.840000,10
aha-1,7.300000,10.010000,10
tdp-1,7.500000,37.250000,10
trr-1,7.600000,2.640000,10
alg-1,7.700000,3.210000,10
ttr-13,9.300000,37.810000,10
fem-1,9.800000,11.160000,10
jmjd-1.2,10.500000,4.450000,10
mut-16,16.100000,39.490000,9
brc-1,16.600000,38.640000,9
wdr-48,17.900000,4.890000,10
rsp-2,18.100000,55.090000,8
gcy-5,18.400000,22.040000,9
cdh-1,18.900000,17.090000,10
tag-325,20.000000,28.600000,9
tir-1,20.000000,88.400000,6
unc-52,20.400000,6.040000,10
polq-1,20.600000,4.040000,10
irld-66,21.200000,22.360000,9
nos-3,22.600000,31.840000,9
ptb-1,23.200000,70.760000,6
ark-1,24.300000,105.610000,3
unc-79,25.900000,21.490000,8
cyd-1,26.200000,41.760000,4
algn-9,26.500000,26.450000,6
tra-2,27.700000,43.610000,2
rskn-1,28.100000,5.290000,7
sulp-1,28.200000,8.160000,6
unc-13,28.300000,13.010000,5
mrpl-10,28.700000,9.010000,5
dnj-25,28.800000,19.760000,3
ppat-1,29.700000,8.010000,2
srh-173,29.900000,10.890000,1
ugt-22,29.900000,4.890000,2
ZK1067.2,30.000000,4.000000,2
gadr-2,30.100000,3.690000,2
M04F3.5,30.200000,5.760000,1
imph-1,30.400000,3.240000,1
bcat-1,30.500000,1.450000,2
oac-19,30.500000,0.850000,3
lact-2,30.600000,1.440000,1
mrps-12,30.600000,1.440000,1
Y38F2AR.12,30.700000,0.810000,1
Y48C3A.5,30.700000,0.810000,1
F55G1.6,30.800000,0.360000,1
F56D12.t3,30.800000,0.360000,1
cutl-28,30.800000,0.360000,1
din-1,30.800000,0.360000,1
Y113G7A.t4,30.900000,0.090000,1
ceh-100,30.900000,0.090000,1
vps-25,30.900000,0.090000,1
